rank,name,realm,faction,rating,wins,losses,class,spec
1,Clonecity,tichondrius,ALLIANCE,3108,650,328,Druid,Restoration
2,Dzd,stormrage,ALLIANCE,3080,269,146,Rogue,Subtlety
3,Junglejape,tichondrius,ALLIANCE,3077,332,161,Mage,Arcane
4,Theloaofdmg,illidan,ALLIANCE,3063,242,137,Rogue,Assassination
5,Mystìcmac,sargeras,ALLIANCE,3062,151,54,Unknown,Unknown
6,Toonah,area-52,ALLIANCE,3058,150,55,Druid,Balance
7,Nicktherogue,stormrage,ALLIANCE,3053,155,61,Rogue,Assassination
8,Hìmenø,stormrage,ALLIANCE,3051,169,67,Rogue,Assassination
9,Nickthedruid,stormrage,ALLIANCE,3050,212,75,Druid,Balance
10,Samuelceo,area-52,ALLIANCE,3038,239,107,Druid,Restoration
10,Windshark,kelthuzad,ALLIANCE,3038,201,94,Unknown,Unknown
10,Gbg,arathor,ALLIANCE,3038,243,135,Rogue,Assassination
10,Stadman,illidan,HORDE,3038,772,433,Evoker,Preservation
14,Emìlia,malygos,ALLIANCE,3035,228,138,Unknown,Unknown
15,Ôñéèýèdkíñg,stormrage,ALLIANCE,3031,224,114,Unknown,Unknown
16,Señorvåc,sargeras,ALLIANCE,3029,211,116,Unknown,Unknown
16,Rudar,sargeras,ALLIANCE,3029,329,190,Druid,Balance
18,Wunderwaffen,tichondrius,HORDE,3028,144,82,Unknown,Unknown
19,Førtunateøne,area-52,ALLIANCE,3026,183,102,Druid,Restoration
19,Sleepiiheadx,stormrage,HORDE,3026,260,164,Evoker,Preservation
21,Kenstlols,tichondrius,ALLIANCE,3022,150,52,Warrior,Arms
22,Jessicàjin,illidan,ALLIANCE,3018,125,69,Unknown,Unknown
23,Trillr,illidan,ALLIANCE,3013,785,384,Rogue,Outlaw
24,Mvqx,illidan,ALLIANCE,3009,523,290,Demon Hunter,Havoc
24,Garbagevoker,scilla,ALLIANCE,3009,248,170,Evoker,Preservation
26,Glizzyglazer,proudmoore,ALLIANCE,3007,229,156,Unknown,Unknown
27,Vestheta,stormrage,ALLIANCE,3006,150,50,Rogue,Assassination
28,Chaniyam,tichondrius,ALLIANCE,3001,183,88,Warlock,Demonology
28,Toxicroch,bleeding-hollow,ALLIANCE,3001,150,112,Demon Hunter,Havoc
30,Jessicåjin,illidan,ALLIANCE,2999,150,81,Unknown,Unknown
31,Aeg,stormrage,ALLIANCE,2989,154,104,Unknown,Unknown
32,Mamazboy,area-52,ALLIANCE,2988,150,90,Demon Hunter,Havoc
33,Dipii,proudmoore,ALLIANCE,2984,150,84,Druid,Balance
34,Feralgenius,sargeras,ALLIANCE,2983,150,90,Druid,Feral
35,Cloney,thrall,ALLIANCE,2982,2907,1976,Druid,Balance
36,Dàzèd,stormrage,ALLIANCE,2981,200,136,Rogue,Outlaw
36,Nahj,tichondrius,ALLIANCE,2981,364,327,Rogue,Subtlety
38,Drakedad,nathrezim,ALLIANCE,2979,172,109,Unknown,Unknown
39,Ncpd,illidan,ALLIANCE,2976,139,81,Unknown,Unknown
39,Níen,bleeding-hollow,ALLIANCE,2976,155,99,Unknown,Unknown
41,Fléy,proudmoore,ALLIANCE,2975,316,217,Priest,Holy
42,Fusex,sargeras,ALLIANCE,2972,161,128,Druid,Feral
43,Pd,nathrezim,ALLIANCE,2970,359,253,Warlock,Destruction
43,Judgmentdaý,tichondrius,ALLIANCE,2970,516,444,Shaman,Enhancement
45,Dipimeow,tichondrius,ALLIANCE,2969,150,87,Druid,Feral
45,Hotheadbop,malganis,ALLIANCE,2969,156,103,Mage,Arcane
47,Tràvìs,stormrage,ALLIANCE,2968,496,351,Unknown,Unknown
48,Tmpikaboo,tichondrius,HORDE,2967,204,82,Rogue,Subtlety
49,Blindingface,sargeras,HORDE,2965,230,115,Unknown,Unknown
49,Melyon,tichondrius,ALLIANCE,2965,574,402,Monk,Mistweaver
49,Saul,tichondrius,ALLIANCE,2965,413,328,Shaman,Enhancement
52,Glizzydrag,stormrage,ALLIANCE,2964,154,79,Unknown,Unknown
53,Ainmosni,sargeras,ALLIANCE,2963,162,121,Mage,Arcane
53,Katyushá,illidan,HORDE,2963,555,432,Unknown,Unknown
55,Gûzz,area-52,HORDE,2962,157,75,Unknown,Unknown
55,Losertwo,illidan,ALLIANCE,2962,251,162,Unknown,Unknown
57,Yøruíchi,sargeras,ALLIANCE,2959,122,53,Druid,Feral
57,Scrappycøcø,area-52,ALLIANCE,2959,495,292,Unknown,Unknown
59,Dipilovesyou,tichondrius,ALLIANCE,2956,162,95,Druid,Balance
59,Ponyprincess,emerald-dream,ALLIANCE,2956,138,92,Unknown,Unknown
61,Dankdad,drenden,ALLIANCE,2955,150,92,Rogue,Assassination
61,Iznogøud,area-52,ALLIANCE,2955,213,143,Unknown,Unknown
63,Vctrphs,nemesis,ALLIANCE,2954,423,280,Druid,Feral
64,Kalvishmage,dalaran,ALLIANCE,2953,161,85,Mage,Fire
64,Abrrua,area-52,ALLIANCE,2953,315,222,Unknown,Unknown
64,Marvdog,stormreaver,ALLIANCE,2953,499,382,Unknown,Unknown
67,Hywan,stormreaver,ALLIANCE,2951,182,102,Druid,Feral
67,Joxibaba,stormrage,HORDE,2951,340,271,Unknown,Unknown
69,Itsjustover,stormrage,HORDE,2950,193,110,Monk,Mistweaver
69,Marvinceo,stormreaver,ALLIANCE,2950,272,206,Paladin,Retribution
71,Magnusz,zuljin,ALLIANCE,2948,222,105,Warrior,Arms
71,Tractordaddy,zuljin,ALLIANCE,2948,190,107,Warrior,Arms
71,Fruitcakeqt,proudmoore,HORDE,2948,254,184,Priest,Discipline
71,Dopaminex,shattered-halls,ALLIANCE,2948,473,385,Unknown,Unknown
75,Ntdx,stormrage,ALLIANCE,2947,158,104,Unknown,Unknown
75,Clonecountry,tichondrius,ALLIANCE,2947,130,90,Druid,Balance
75,Axtin,stormreaver,ALLIANCE,2947,252,181,Druid,Feral
78,Roguejkorc,illidan,HORDE,2946,152,88,Unknown,Unknown
78,Jessicâjin,illidan,ALLIANCE,2946,257,178,Paladin,Retribution
78,Nozomm,stormrage,HORDE,2946,153,116,Warlock,Destruction
81,Coffeybean,area-52,ALLIANCE,2945,181,70,Unknown,Unknown
81,Dexlol,area-52,ALLIANCE,2945,345,161,Druid,Balance
81,Tòretòn,area-52,ALLIANCE,2945,172,97,Mage,Frost
81,Shamdiva,arathor,ALLIANCE,2945,220,139,Shaman,Restoration
85,Zødiackiller,bleeding-hollow,ALLIANCE,2944,305,168,Demon Hunter,Havoc
85,Mêlon,tichondrius,ALLIANCE,2944,345,208,Monk,Mistweaver
87,Ñätùrëðrägøñ,tichondrius,HORDE,2943,150,63,Shaman,Restoration
87,Kîñggïgàçhäð,stormrage,HORDE,2943,166,94,Evoker,Preservation
87,Çhñkzrèt,illidan,ALLIANCE,2943,210,131,Paladin,Retribution
90,Strickmaney,nathrezim,ALLIANCE,2942,177,90,Unknown,Unknown
90,Villaindh,bleeding-hollow,ALLIANCE,2942,264,174,Demon Hunter,Havoc
90,Aeghis,stormrage,ALLIANCE,2942,217,155,Mage,Arcane
90,Melvoker,tichondrius,HORDE,2942,402,312,Evoker,Preservation
90,Palumor,deathwing,ALLIANCE,2942,491,383,Rogue,Subtlety
95,Kalvishx,dalaran,ALLIANCE,2941,351,201,Rogue,Subtlety
95,Wegopher,tichondrius,ALLIANCE,2941,183,134,Death Knight,Unholy
97,Crl,malygos,ALLIANCE,2940,150,90,Unknown,Unknown
97,Ïchïgø,tichondrius,ALLIANCE,2940,344,263,Paladin,Retribution
99,Wizksfartbox,emerald-dream,HORDE,2939,298,228,Unknown,Unknown
100,Iritamsi,illidan,HORDE,2938,270,188,Shaman,Restoration
100,Pawpurrazzi,moon-guard,ALLIANCE,2938,268,198,Druid,Restoration
100,Sensations,moon-guard,ALLIANCE,2938,324,254,Druid,Restoration
103,Devistonia,moon-guard,ALLIANCE,2937,264,178,Druid,Restoration
103,Bonquiesha,area-52,HORDE,2937,153,117,Hunter,Survival
103,Snartx,malganis,ALLIANCE,2937,283,228,Unknown,Unknown
106,Illililiilil,bleeding-hollow,ALLIANCE,2936,555,384,Demon Hunter,Havoc
106,Illililiilil,bleeding-hollow,ALLIANCE,2936,555,384,Mage,Frost
106,Fromcanadaqc,zuljin,HORDE,2936,243,170,Mage,Frost
106,Fromcanadaqc,zuljin,HORDE,2936,243,170,Unknown,Unknown
106,Fromcanadaqc,zuljin,HORDE,2936,243,170,Mage,Frost
106,Fromcanadaqc,zuljin,HORDE,2936,243,170,Mage,Frost
106,Fromcanadaqc,zuljin,HORDE,2936,243,170,Mage,Frost
106,Fromcanadaqc,zuljin,HORDE,2936,243,170,Mage,Frost
106,Murasaza,drenden,ALLIANCE,2936,358,270,Shaman,Elemental
106,Grimunt,tichondrius,HORDE,2936,326,246,Unknown,Unknown
110,Súzúne,tichondrius,ALLIANCE,2935,464,393,Demon Hunter,Havoc
110,Smorc,stormrage,ALLIANCE,2935,259,223,Warrior,Fury
112,Xvfxsvfxdsds,stormrage,ALLIANCE,2934,192,124,Unknown,Unknown
112,Coreyguns,area-52,HORDE,2934,301,205,Shaman,Elemental
112,Nozomx,stormrage,ALLIANCE,2934,441,338,Warlock,Destruction
112,Sillydurgon,emerald-dream,ALLIANCE,2934,225,177,Evoker,Preservation
112,Shmegorc,sargeras,HORDE,2934,287,229,Unknown,Unknown
112,Jtheals,illidan,ALLIANCE,2934,211,169,Priest,Holy
118,Dukama,stormrage,ALLIANCE,2933,157,99,Warlock,Destruction
118,Bewitch,sargeras,ALLIANCE,2933,257,194,Warlock,Demonology
118,Orcwwhaha,sargeras,HORDE,2933,218,166,Unknown,Unknown
118,Svondo,illidan,HORDE,2933,289,238,Shaman,Restoration
118,Yzklc,tichondrius,ALLIANCE,2933,229,192,Demon Hunter,Devourer
123,Inertia,arygos,ALLIANCE,2932,171,87,Demon Hunter,Havoc
123,Akizuki,alexstrasza,ALLIANCE,2932,157,90,Unknown,Unknown
123,Dzdh,stormrage,ALLIANCE,2932,265,156,Demon Hunter,Devourer
123,Mmrassassin,stormrage,ALLIANCE,2932,153,91,Unknown,Unknown
123,Çhrøñøløøp,tichondrius,HORDE,2932,160,100,Evoker,Preservation
123,Stælthßømbèr,baelgun,HORDE,2932,217,143,Unknown,Unknown
123,Xêêk,tichondrius,ALLIANCE,2932,302,206,Unknown,Unknown
123,Revzxy,dalaran,ALLIANCE,2932,231,166,Unknown,Unknown
123,Revzxy,dalaran,ALLIANCE,2932,231,166,Demon Hunter,Devourer
123,Hansol,farstriders,ALLIANCE,2932,308,243,Unknown,Unknown
123,Hansol,farstriders,ALLIANCE,2932,308,243,Unknown,Unknown
132,Xeniél,illidan,ALLIANCE,2931,162,91,Paladin,Retribution
132,Mes,sentinels,ALLIANCE,2931,151,96,Demon Hunter,Havoc
132,Dolphszn,zuljin,ALLIANCE,2931,169,112,Unknown,Unknown
132,Inawa,tichondrius,ALLIANCE,2931,180,120,Priest,Discipline
132,Dracostayout,sargeras,ALLIANCE,2931,177,155,Unknown,Unknown
137,Magiabaiser,illidan,ALLIANCE,2930,198,98,Unknown,Unknown
137,Law,drenden,ALLIANCE,2930,187,96,Unknown,Unknown
137,Max,stormrage,ALLIANCE,2930,263,180,Demon Hunter,Devourer
137,Actualplant,tichondrius,ALLIANCE,2930,195,137,Unknown,Unknown
137,Spírïtdrågøñ,area-52,ALLIANCE,2930,254,181,Demon Hunter,Havoc
137,Explicit,blackrock,ALLIANCE,2930,225,169,Rogue,Subtlety
137,Mooingcowttv,area-52,HORDE,2930,455,344,Unknown,Unknown
137,Belláware,bleeding-hollow,ALLIANCE,2930,227,172,Unknown,Unknown
137,Nessper,tichondrius,ALLIANCE,2930,353,277,Rogue,Assassination
146,Muàddib,ravencrest,ALLIANCE,2929,162,94,Unknown,Unknown
146,Vânguards,tichondrius,ALLIANCE,2929,243,144,Paladin,Retribution
146,Liquidcdew,illidan,HORDE,2929,683,438,Unknown,Unknown
146,Monsterxgodx,stormrage,ALLIANCE,2929,207,159,Warlock,Destruction
150,Jaime,kaelthas,HORDE,2928,150,52,Shaman,Elemental
150,Kickbot,uldum,ALLIANCE,2928,207,106,Unknown,Unknown
150,Bignar,zuljin,ALLIANCE,2928,267,189,Druid,Feral
150,Mesx,tichondrius,HORDE,2928,341,247,Death Knight,Unholy
150,Gødfâther,zuljin,ALLIANCE,2928,180,135,Unknown,Unknown
150,Vicestko,sargeras,ALLIANCE,2928,300,230,Warrior,Fury
150,Rýuga,sargeras,ALLIANCE,2928,243,190,Unknown,Unknown
157,Nogàrd,arygos,ALLIANCE,2927,156,103,Unknown,Unknown
157,Frøstgødxêêk,tichondrius,HORDE,2927,303,204,Unknown,Unknown
157,Sungjinwoo,grizzly-hills,ALLIANCE,2927,258,176,Paladin,Holy
157,Bleeds,blackhand,ALLIANCE,2927,245,174,Druid,Feral
157,Croces,daggerspine,ALLIANCE,2927,269,200,Demon Hunter,Havoc
157,Croces,daggerspine,ALLIANCE,2927,269,200,Demon Hunter,Havoc
157,Waylor,lethon,ALLIANCE,2927,197,157,Priest,Discipline
163,Stunsilence,sargeras,ALLIANCE,2926,199,114,Priest,Shadow
163,Sarmgoblinx,kelthuzad,ALLIANCE,2926,222,136,Unknown,Unknown
163,Dallas,demon-soul,ALLIANCE,2926,169,115,Druid,Feral
163,Vices,sargeras,ALLIANCE,2926,180,140,Warrior,Arms
163,Pherìx,tichondrius,ALLIANCE,2926,305,243,Mage,Fire
168,Exzyo,area-52,HORDE,2925,174,98,Demon Hunter,Havoc
168,Hønøredøne,sargeras,ALLIANCE,2925,167,113,Monk,Mistweaver
168,Verfanth,area-52,ALLIANCE,2925,163,120,Unknown,Unknown
168,Zerxiosvoker,stormrage,ALLIANCE,2925,316,250,Evoker,Devastation
172,Austin,sargeras,ALLIANCE,2924,160,106,Mage,Arcane
172,Nanoir,illidan,ALLIANCE,2924,150,105,Unknown,Unknown
172,Toondog,area-52,ALLIANCE,2924,268,191,Warlock,Destruction
172,Baiw,tichondrius,HORDE,2924,326,233,Warlock,Destruction
172,Caprise,drenden,ALLIANCE,2924,175,133,Shaman,Restoration
172,Caprise,drenden,ALLIANCE,2924,175,133,Shaman,Restoration
172,Nametenbooks,tichondrius,HORDE,2924,277,225,Shaman,Enhancement
172,Silkymitts,korgath,ALLIANCE,2924,218,187,Shaman,Elemental
179,Myk,medivh,ALLIANCE,2923,150,46,Rogue,Assassination
179,Isnlonely,tichondrius,ALLIANCE,2923,156,71,Warrior,Fury
179,Jthealz,tichondrius,ALLIANCE,2923,556,507,Priest,Holy
182,Tøkÿöghøül,agamaggan,ALLIANCE,2922,243,135,Hunter,Survival
182,Tímmÿtûrñér,tichondrius,ALLIANCE,2922,369,244,Unknown,Unknown
182,Dopamine,shattered-halls,ALLIANCE,2922,305,203,Mage,Fire
182,Meepmonk,tichondrius,HORDE,2922,195,133,Monk,Mistweaver
182,Meepmonk,tichondrius,HORDE,2922,195,133,Monk,Mistweaver
182,Atsukaia,tichondrius,ALLIANCE,2922,158,110,Shaman,Restoration
182,Randysavage,suramar,ALLIANCE,2922,471,340,Unknown,Unknown
182,Classenvy,tichondrius,HORDE,2922,259,188,Unknown,Unknown
182,Bumbleb,darkspear,ALLIANCE,2922,224,166,Unknown,Unknown
182,Bingbingbing,kelthuzad,ALLIANCE,2922,601,466,Warrior,Fury
182,Vânguârds,tichondrius,ALLIANCE,2922,342,266,Paladin,Retribution
182,Dboldennis,stormrage,ALLIANCE,2922,172,139,Druid,Balance
193,Våås,bleeding-hollow,ALLIANCE,2921,318,218,Demon Hunter,Havoc
193,Áoì,area-52,HORDE,2921,277,190,Mage,Frost
193,Pxry,stormrage,ALLIANCE,2921,177,122,Hunter,Survival
193,Pxry,stormrage,ALLIANCE,2921,177,122,Hunter,Survival
193,Envyion,sargeras,ALLIANCE,2921,371,271,Priest,Shadow
193,Vxjohnson,proudmoore,ALLIANCE,2921,153,118,Unknown,Unknown
193,Smexxin,tichondrius,ALLIANCE,2921,208,166,Warrior,Arms
193,Yøske,tichondrius,HORDE,2921,215,189,Hunter,Beast Mastery
200,Bigjbs,tichondrius,ALLIANCE,2920,184,85,Unknown,Unknown
200,Noworriesbro,zuljin,ALLIANCE,2920,263,156,Druid,Restoration
200,Rumblesucks,stormrage,ALLIANCE,2920,999,732,Unknown,Unknown
200,Calmx,sargeras,ALLIANCE,2920,258,196,Unknown,Unknown
200,Freefromfate,ravencrest,ALLIANCE,2920,238,182,Druid,Feral
200,Wodferalz,proudmoore,ALLIANCE,2920,413,324,Unknown,Unknown
206,Hamborgir,sargeras,HORDE,2919,353,304,Unknown,Unknown
207,Iloveabby,sargeras,ALLIANCE,2918,202,134,Unknown,Unknown
207,Mvqdh,illidan,ALLIANCE,2918,331,224,Demon Hunter,Havoc
207,Teamwork,moon-guard,ALLIANCE,2918,279,190,Druid,Restoration
207,Souvlaki,amanthul,HORDE,2918,222,193,Priest,Holy
211,Puckerupcalm,darkspear,ALLIANCE,2917,152,108,Unknown,Unknown
211,Sintimissi,burning-blade,ALLIANCE,2917,317,242,Unknown,Unknown
211,Dragongunz,illidan,HORDE,2917,189,161,Evoker,Preservation
214,Hyouri,tichondrius,ALLIANCE,2916,191,150,Paladin,Holy
215,Bigbadbreezy,korgath,HORDE,2915,246,149,Paladin,Retribution
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Unknown,Unknown
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Fromcanadaqc,tichondrius,ALLIANCE,2915,231,183,Mage,Frost
215,Blastncruise,korgath,ALLIANCE,2915,241,220,Unknown,Unknown
218,Pettyk,tichondrius,ALLIANCE,2914,152,76,Death Knight,Unholy
218,Mørnìngstär,illidan,ALLIANCE,2914,308,208,Rogue,Assassination
218,Kaskå,tichondrius,ALLIANCE,2914,343,288,Shaman,Restoration
221,Meepmonk,kilrogg,ALLIANCE,2913,161,106,Monk,Mistweaver
221,Meepmonk,kilrogg,ALLIANCE,2913,161,106,Monk,Mistweaver
222,Loggerpally,area-52,ALLIANCE,2912,178,89,Unknown,Unknown
222,Clonedome,thrall,ALLIANCE,2912,2657,1823,Druid,Balance
224,Rgx,tichondrius,ALLIANCE,2911,305,240,Paladin,Protection
224,Rinnegekz,tichondrius,ALLIANCE,2911,423,404,Priest,Discipline
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Unknown,Unknown
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
226,Fromcanadaqc,sargeras,ALLIANCE,2910,180,115,Mage,Frost
227,Kamáhleñ,malganis,ALLIANCE,2909,253,206,Evoker,Devastation
228,Emsti,illidan,HORDE,2908,301,214,Unknown,Unknown
228,Shardsxo,illidan,ALLIANCE,2908,626,479,Warlock,Destruction
228,Hansol,eitrigg,HORDE,2908,199,167,Unknown,Unknown
228,Hansol,eitrigg,HORDE,2908,199,167,Unknown,Unknown
228,Bubblebuddyy,tichondrius,ALLIANCE,2908,536,469,Unknown,Unknown
232,Shazuwu,tichondrius,ALLIANCE,2907,135,101,Paladin,Holy
232,Larosx,illidan,ALLIANCE,2907,490,445,Unknown,Unknown
234,Jessicajïn,illidan,ALLIANCE,2902,374,221,Unknown,Unknown
234,Legendarý,kelthuzad,ALLIANCE,2902,117,74,Mage,Arcane
236,Streetjudasx,kelthuzad,ALLIANCE,2900,211,128,Druid,Restoration
236,Doritocrunch,sargeras,ALLIANCE,2900,137,96,Unknown,Unknown
238,Jessicajìn,illidan,ALLIANCE,2898,287,186,Unknown,Unknown
238,Cindyloux,tichondrius,HORDE,2898,246,188,Priest,Holy
240,Humongousdam,illidan,ALLIANCE,2895,270,200,Druid,Feral
241,Substancex,illidan,ALLIANCE,2894,167,85,Unknown,Unknown
