rank,name,realm,faction,rating,wins,losses,class,spec
736,Ywtbh,tichondrius,ALLIANCE,2603,294,199,Unknown,Unknown
736,Zaiygetv,sargeras,ALLIANCE,2603,519,434,Unknown,Unknown
741,Baldblindbad,malganis,ALLIANCE,2602,144,111,Shaman,Enhancement
741,Geicovoker,tichondrius,ALLIANCE,2602,180,145,Evoker,Devastation
741,Rorae,tichondrius,ALLIANCE,2602,268,218,Druid,Restoration
741,Wölf,durotan,HORDE,2602,176,146,Unknown,Unknown
745,Mingfarç,tichondrius,ALLIANCE,2601,414,318,Druid,Restoration
745,Xxann,tichondrius,HORDE,2601,262,217,Demon Hunter,Havoc
745,Kelaillea,kelthuzad,ALLIANCE,2601,373,338,Druid,Restoration
745,Thyatera,ragnaros,HORDE,2601,273,261,Evoker,Preservation
749,Wolfibi,tichondrius,ALLIANCE,2600,252,158,Warlock,Destruction
749,Vraltak,tichondrius,ALLIANCE,2600,219,142,Unknown,Unknown
749,Norolemodelz,tichondrius,ALLIANCE,2600,217,146,Demon Hunter,Havoc
749,Renebesthpal,illidan,ALLIANCE,2600,297,262,Unknown,Unknown
753,Rennardragon,bleeding-hollow,HORDE,2599,170,121,Evoker,Preservation
753,Hxpriest,tichondrius,ALLIANCE,2599,302,230,Priest,Holy
753,Yuouji,darkspear,ALLIANCE,2599,98,84,Paladin,Retribution
753,Downbadsumah,malganis,HORDE,2599,215,189,Unknown,Unknown
757,Demonconor,bronzebeard,ALLIANCE,2598,150,120,Demon Hunter,Havoc
757,Exrtj,stormrage,ALLIANCE,2598,190,159,Evoker,Preservation
757,Exrtj,stormrage,ALLIANCE,2598,190,159,Evoker,Preservation
757,Stungods,frostmourne,ALLIANCE,2598,236,198,Unknown,Unknown
757,Penguinsalty,tichondrius,ALLIANCE,2598,272,247,Unknown,Unknown
761,Delmer,fenris,ALLIANCE,2597,131,61,Demon Hunter,Havoc
761,Keytonx,tichondrius,HORDE,2597,177,86,Unknown,Unknown
761,Kwanzaa,emerald-dream,HORDE,2597,113,73,Druid,Balance
761,Righteousw,area-52,HORDE,2597,126,98,Unknown,Unknown
761,Unequalled,darkspear,ALLIANCE,2597,156,122,Paladin,Holy
761,Rfc,tichondrius,ALLIANCE,2597,266,215,Unknown,Unknown
761,Pledx,tichondrius,ALLIANCE,2597,477,429,Warlock,Destruction
768,Aimlesslyed,tichondrius,HORDE,2596,187,124,Unknown,Unknown
768,Woezx,stormreaver,ALLIANCE,2596,175,137,Unknown,Unknown
768,Voidchaos,whisperwind,ALLIANCE,2596,460,403,Warlock,Destruction
768,Weskerrz,tichondrius,HORDE,2596,222,195,Warrior,Arms
768,Foxfighter,thrall,ALLIANCE,2596,271,241,Demon Hunter,Havoc
773,Frenziregenx,tichondrius,ALLIANCE,2595,94,50,Unknown,Unknown
773,Isql,illidan,HORDE,2595,137,86,Priest,Shadow
773,Chickenzzack,tichondrius,HORDE,2595,308,196,Hunter,Beast Mastery
773,Zentheon,malganis,ALLIANCE,2595,297,236,Druid,Feral
773,Rlstine,sargeras,ALLIANCE,2595,213,172,Druid,Restoration
773,Notinsanity,proudmoore,HORDE,2595,246,201,Druid,Feral
773,Venruki,tichondrius,ALLIANCE,2595,321,263,Mage,Frost
773,Shoepooper,illidan,ALLIANCE,2595,230,215,Priest,Holy
781,Noract,tichondrius,ALLIANCE,2594,95,48,Unknown,Unknown
781,Ciphens,malganis,ALLIANCE,2594,108,70,Death Knight,Unholy
781,Zerotwodance,tichondrius,ALLIANCE,2594,143,97,Unknown,Unknown
781,Pboo,tichondrius,ALLIANCE,2594,200,140,Priest,Discipline
781,Jiaohenda,sargeras,ALLIANCE,2594,207,162,Unknown,Unknown
781,Miketheseal,bleeding-hollow,ALLIANCE,2594,251,213,Shaman,Restoration
781,Jacktheyak,kelthuzad,ALLIANCE,2594,842,725,Warlock,Affliction
781,Kriger,tichondrius,HORDE,2594,426,377,Warrior,Protection
781,Uglybaldbaby,icecrown,ALLIANCE,2594,207,198,Druid,Feral
790,Mooñstone,stormrage,ALLIANCE,2593,130,78,Evoker,Preservation
790,Dramahammer,muradin,ALLIANCE,2593,191,124,Paladin,Holy
790,Sawajirii,tichondrius,ALLIANCE,2593,155,101,Unknown,Unknown
790,Cerruendor,stormrage,ALLIANCE,2593,141,98,Demon Hunter,Havoc
790,Ntdh,stormrage,ALLIANCE,2593,112,86,Unknown,Unknown
790,Stegp,kelthuzad,ALLIANCE,2593,213,184,Priest,Holy
796,Malvinzxr,area-52,HORDE,2592,118,82,Mage,Frost
796,Ylkl,tichondrius,ALLIANCE,2592,193,140,Unknown,Unknown
796,Gywvewy,kelthuzad,HORDE,2592,518,407,Unknown,Unknown
799,Qzdxmd,tichondrius,ALLIANCE,2591,185,125,Druid,Restoration
799,Praemael,tichondrius,HORDE,2591,183,144,Priest,Discipline
799,Komorebí,bleeding-hollow,ALLIANCE,2591,243,196,Unknown,Unknown
802,Tmborn,tichondrius,HORDE,2590,264,197,Paladin,Holy
802,Fabbs,frostmourne,HORDE,2590,225,199,Hunter,Beast Mastery
804,Calmthree,tichondrius,ALLIANCE,2589,179,132,Unknown,Unknown
805,Loggerferal,stormrage,ALLIANCE,2588,583,402,Druid,Feral
805,Sanctify,onyxia,ALLIANCE,2588,136,100,Paladin,Holy
805,Jessicajin,tichondrius,ALLIANCE,2588,258,220,Warrior,Fury
808,Galaxyblaze,tichondrius,ALLIANCE,2587,107,71,Rogue,Subtlety
808,Wangge,tichondrius,ALLIANCE,2587,342,240,Rogue,Outlaw
808,Hubermanlab,tichondrius,ALLIANCE,2587,172,121,Shaman,Elemental
808,Plasmadancer,area-52,HORDE,2587,284,251,Unknown,Unknown
808,Øneêyêdkîng,twisting-nether,ALLIANCE,2587,307,277,Unknown,Unknown
813,Restokin,dreadmaul,ALLIANCE,2586,291,219,Druid,Restoration
813,Duelistirlxx,area-52,ALLIANCE,2586,161,124,Paladin,Holy
813,Néynéy,illidan,ALLIANCE,2586,174,139,Unknown,Unknown
816,Superboyç,tichondrius,ALLIANCE,2585,129,81,Druid,Restoration
816,Coppermedusa,sargeras,ALLIANCE,2585,118,83,Evoker,Devastation
816,Rice,lothar,ALLIANCE,2585,287,211,Warlock,Destruction
816,Goodolefash,dalaran,ALLIANCE,2585,133,99,Paladin,Holy
816,Hootheals,illidan,HORDE,2585,380,322,Priest,Discipline
821,Løøpdløøp,tichondrius,ALLIANCE,2584,134,70,Evoker,Preservation
821,Wrldstars,kelthuzad,ALLIANCE,2584,192,170,Unknown,Unknown
821,Saltstream,tichondrius,ALLIANCE,2584,366,338,Hunter,Marksmanship
824,Restobaby,tichondrius,ALLIANCE,2583,219,163,Druid,Restoration
824,Chachiovelf,kiljaeden,ALLIANCE,2583,344,293,Death Knight,Frost
824,Bahamas,bleeding-hollow,ALLIANCE,2583,370,338,Warlock,Demonology
827,Aaàaàaààa,frostmourne,ALLIANCE,2582,265,180,Unknown,Unknown
827,Unclebiden,bleeding-hollow,HORDE,2582,150,112,Warrior,Fury
827,Butta,darkspear,HORDE,2582,230,182,Unknown,Unknown
827,Sylént,illidan,ALLIANCE,2582,203,164,Unknown,Unknown
827,Kynvi,zuljin,ALLIANCE,2582,239,204,Warrior,Arms
832,Kîñg,alleria,ALLIANCE,2581,156,112,Druid,Balance
832,Space,crushridge,HORDE,2581,146,120,Paladin,Holy
832,Scuffedx,tichondrius,ALLIANCE,2581,150,124,Druid,Feral
832,Trinkbubb,ragnaros,HORDE,2581,219,200,Paladin,Holy
836,Creeper,uther,ALLIANCE,2580,124,48,Mage,Frost
836,Ocean,sargeras,ALLIANCE,2580,435,360,Paladin,Holy
836,Phantøms,zuljin,HORDE,2580,691,646,Priest,Discipline
836,Flashmob,zuljin,ALLIANCE,2580,483,465,Rogue,Subtlety
836,Bigttuna,zuljin,HORDE,2580,462,452,Mage,Frost
841,Ånko,tichondrius,ALLIANCE,2579,118,71,Rogue,Assassination
841,Revoir,akama,ALLIANCE,2579,137,88,Paladin,Retribution
841,Jinsheing,tichondrius,ALLIANCE,2579,155,102,Unknown,Unknown
841,Thelf,darkspear,ALLIANCE,2579,138,96,Unknown,Unknown
841,Warried,sargeras,HORDE,2579,115,82,Warrior,Fury
841,Nosthree,bleeding-hollow,HORDE,2579,245,203,Warlock,Demonology
841,Oelyfans,tichondrius,HORDE,2579,842,702,Unknown,Unknown
841,Chadsmanship,kelthuzad,ALLIANCE,2579,621,542,Hunter,Marksmanship
841,Acjuanthirty,sargeras,ALLIANCE,2579,606,541,Unknown,Unknown
850,Kittykats,moon-guard,ALLIANCE,2578,108,59,Warlock,Demonology
850,Yxidzz,area-52,ALLIANCE,2578,144,79,Rogue,Outlaw
850,Fåçèlèssgød,tichondrius,ALLIANCE,2578,117,77,Rogue,Subtlety
850,Freekeeper,drakthul,ALLIANCE,2578,423,338,Unknown,Unknown
854,Solareclipse,tichondrius,ALLIANCE,2577,134,91,Druid,Balance
854,Enzoh,zuljin,HORDE,2577,389,324,Warrior,Fury
854,Burñx,illidan,ALLIANCE,2577,444,398,Unknown,Unknown
857,Toxiz,area-52,HORDE,2576,132,74,Unknown,Unknown
857,Illililiilil,tichondrius,ALLIANCE,2576,119,80,Demon Hunter,Havoc
857,Illililiilil,tichondrius,ALLIANCE,2576,119,80,Mage,Frost
857,Claudiaobeef,azralon,HORDE,2576,244,186,Paladin,Retribution
857,Zugluv,illidan,ALLIANCE,2576,174,135,Warrior,Arms
857,Piriripompom,illidan,ALLIANCE,2576,153,122,Druid,Restoration
857,Glaive,nemesis,ALLIANCE,2576,132,107,Demon Hunter,Havoc
863,Kamisasnake,illidan,HORDE,2575,302,239,Shaman,Restoration
863,Buffregrowth,sargeras,ALLIANCE,2575,1022,822,Unknown,Unknown
863,Wigglipuffs,bleeding-hollow,ALLIANCE,2575,318,318,Paladin,Retribution
866,Gaikorc,area-52,HORDE,2574,272,177,Rogue,Outlaw
866,Spèctrê,area-52,ALLIANCE,2574,629,469,Unknown,Unknown
866,Trinketair,frostwolf,ALLIANCE,2574,268,228,Hunter,Marksmanship
866,Shadowordyup,area-52,ALLIANCE,2574,354,311,Priest,Shadow
870,Slýtherin,tichondrius,ALLIANCE,2573,116,31,Evoker,Devastation
870,Esq,bleeding-hollow,ALLIANCE,2573,114,73,Monk,Mistweaver
870,Szasbbl,stormrage,ALLIANCE,2573,195,143,Unknown,Unknown
870,Jeeme,area-52,ALLIANCE,2573,547,486,Unknown,Unknown
874,Warattack,tichondrius,HORDE,2572,152,61,Rogue,Subtlety
874,Valadinn,tichondrius,HORDE,2572,179,119,Paladin,Retribution
874,Owens,kelthuzad,ALLIANCE,2572,160,109,Unknown,Unknown
874,Kagechicken,stormrage,ALLIANCE,2572,211,155,Unknown,Unknown
874,Lvladen,sargeras,ALLIANCE,2572,187,138,Paladin,Retribution
874,Gojø,malganis,HORDE,2572,332,275,Unknown,Unknown
880,Nono,illidan,ALLIANCE,2571,116,40,Demon Hunter,Havoc
880,Ntp,bloodhoof,ALLIANCE,2571,163,93,Hunter,Beast Mastery
880,Freepokemons,area-52,ALLIANCE,2571,315,226,Priest,Shadow
880,Scandi,tichondrius,ALLIANCE,2571,312,240,Priest,Shadow
880,Smexual,tichondrius,ALLIANCE,2571,107,95,Priest,Discipline
885,Rãðïáñçëgøð,stormrage,ALLIANCE,2570,284,197,Unknown,Unknown
885,Ldc,sargeras,ALLIANCE,2570,127,98,Rogue,Assassination
885,Courageous,alexstrasza,HORDE,2570,157,124,Paladin,Holy
885,Gtåte,azjolnerub,ALLIANCE,2570,201,160,Demon Hunter,Havoc
885,Tønÿtwøtimés,bleeding-hollow,ALLIANCE,2570,285,253,Priest,Discipline
885,Sholts,malganis,HORDE,2570,258,239,Priest,Holy
885,Jwuwu,malganis,ALLIANCE,2570,254,244,Unknown,Unknown
885,Soohyuk,tichondrius,HORDE,2570,777,767,Warlock,Destruction
893,Purmabanned,tichondrius,ALLIANCE,2569,81,50,Paladin,Holy
893,Toonahz,area-52,ALLIANCE,2569,213,133,Paladin,Holy
893,Zanthrow,area-52,ALLIANCE,2569,112,73,Warrior,Fury
893,Dackøzzt,quelthalas,HORDE,2569,128,85,Warrior,Arms
893,Tewiyakichkn,tichondrius,ALLIANCE,2569,126,90,Priest,Holy
893,Mewogue,sargeras,ALLIANCE,2569,159,115,Rogue,Outlaw
893,Korean,nazgrel,ALLIANCE,2569,130,97,Warlock,Demonology
893,Garbagedruid,scilla,ALLIANCE,2569,223,180,Druid,Restoration
893,Hideonbushx,tichondrius,ALLIANCE,2569,265,224,Unknown,Unknown
893,Maxduo,bleeding-hollow,ALLIANCE,2569,195,174,Unknown,Unknown
893,Maxuno,bleeding-hollow,ALLIANCE,2569,582,553,Unknown,Unknown
904,Frankjkborat,bleeding-hollow,HORDE,2568,275,218,Evoker,Preservation
904,Jøhnwick,illidan,ALLIANCE,2568,664,543,Warlock,Destruction
906,Sketchydru,tichondrius,ALLIANCE,2567,215,152,Druid,Balance
906,Buffrm5B323E,anvilmar,ALLIANCE,2567,282,252,Unknown,Unknown
906,Maraagdh,tichondrius,ALLIANCE,2567,255,262,Demon Hunter,Havoc
909,Draconianlaw,stormrage,HORDE,2566,109,67,Priest,Discipline
909,Roxylanna,bonechewer,ALLIANCE,2566,160,116,Druid,Feral
909,Madcuzhpal,zuljin,ALLIANCE,2566,633,475,Unknown,Unknown
909,Gatorbop,area-52,ALLIANCE,2566,145,109,Paladin,Holy
909,Elvenmonk,frostmane,ALLIANCE,2566,159,126,Monk,Mistweaver
909,Yulieze,moon-guard,ALLIANCE,2566,123,100,Mage,Frost
909,Looksmaxxing,illidan,ALLIANCE,2566,257,235,Hunter,Survival
909,Hyttzvok,gurubashi,ALLIANCE,2566,737,679,Unknown,Unknown
917,Kirayu,stormrage,ALLIANCE,2565,120,64,Priest,Holy
917,Drinkmymilkz,thaurissan,HORDE,2565,120,64,Druid,Feral
917,Ðøubleshøt,burning-legion,ALLIANCE,2565,120,64,Unknown,Unknown
917,Eithelx,kelthuzad,ALLIANCE,2565,192,135,Unknown,Unknown
917,Vistacleave,maiev,HORDE,2565,134,98,Unknown,Unknown
917,Pandalove,malganis,ALLIANCE,2565,181,133,Unknown,Unknown
917,Plsnerfdh,tichondrius,ALLIANCE,2565,133,99,Unknown,Unknown
917,Wongelvis,zuljin,ALLIANCE,2565,210,161,Unknown,Unknown
917,Beibeihangx,tichondrius,ALLIANCE,2565,423,338,Priest,Shadow
917,Sealornoseal,bleeding-hollow,ALLIANCE,2565,147,123,Shaman,Restoration
917,Broshankz,whisperwind,ALLIANCE,2565,135,114,Unknown,Unknown
917,Ethxx,emerald-dream,ALLIANCE,2565,301,265,Unknown,Unknown
917,Shawnkëmp,sargeras,ALLIANCE,2565,170,155,Druid,Restoration
930,Sybrowscay,area-52,ALLIANCE,2564,191,128,Druid,Feral
930,Hellopdr,area-52,HORDE,2564,286,254,Hunter,Marksmanship
932,Gîyutomioka,ragnaros,ALLIANCE,2563,149,116,Unknown,Unknown
932,Budikalol,ragnaros,ALLIANCE,2563,185,148,Unknown,Unknown
932,Zozo,zuljin,ALLIANCE,2563,325,270,Paladin,Retribution
932,Redemption,mugthol,ALLIANCE,2563,162,145,Paladin,Holy
932,Fâthër,tichondrius,HORDE,2563,484,438,Shaman,Restoration
937,Gutso,malganis,ALLIANCE,2562,73,46,Monk,Windwalker
937,Pelletbrainn,malganis,ALLIANCE,2562,277,191,Unknown,Unknown
937,Delynx,alexstrasza,ALLIANCE,2562,131,93,Unknown,Unknown
937,Dipiboorst,proudmoore,HORDE,2562,109,82,Shaman,Elemental
937,Bigdaddypuff,cenarius,HORDE,2562,206,158,Paladin,Holy
937,Pantherex,suramar,ALLIANCE,2562,249,194,Warrior,Fury
937,Miaxo,zuljin,HORDE,2562,270,218,Unknown,Unknown
937,Kâmahlen,malganis,HORDE,2562,311,263,Warlock,Demonology
937,Hoboedd,area-52,HORDE,2562,622,546,Warrior,Arms
946,Deathglare,illidan,ALLIANCE,2561,149,118,Unknown,Unknown
946,Elune,illidan,ALLIANCE,2561,464,378,Druid,Restoration
946,Sasqueech,area-52,HORDE,2561,505,425,Unknown,Unknown
946,Fireballingx,illidan,ALLIANCE,2561,152,133,Warlock,Demonology
946,Wooxus,ragnaros,ALLIANCE,2561,229,209,Priest,Shadow
946,Barndorr,illidan,HORDE,2561,457,425,Demon Hunter,Havoc
946,Braxxinn,zuljin,ALLIANCE,2561,522,490,Warrior,Arms
953,Fluttermanez,tichondrius,HORDE,2560,194,131,Priest,Discipline
953,Nukexds,tichondrius,HORDE,2560,164,118,Shaman,Elemental
953,Brothabean,tichondrius,ALLIANCE,2560,95,70,Druid,Feral
953,Kill,barthilas,ALLIANCE,2560,299,242,Warlock,Affliction
957,Zzackchicken,tichondrius,ALLIANCE,2559,176,103,Hunter,Beast Mastery
957,Bestrun,tichondrius,ALLIANCE,2559,283,199,Druid,Restoration
957,Ixbrenxgodxl,malganis,HORDE,2559,221,167,Shaman,Enhancement
957,Wonderbread,drenden,ALLIANCE,2559,178,137,Paladin,Retribution
957,Lancee,zuljin,HORDE,2559,190,162,Demon Hunter,Havoc
962,Rcrog,tichondrius,ALLIANCE,2558,135,94,Unknown,Unknown
962,Brandemonium,wyrmrest-accord,ALLIANCE,2558,141,102,Warlock,Demonology
962,Magrodk,azralon,HORDE,2558,145,107,Death Knight,Unholy
962,Buffdev,sargeras,ALLIANCE,2558,406,334,Evoker,Augmentation
962,Vengeful,ragnaros,ALLIANCE,2558,185,153,Priest,Discipline
962,Luhcranky,sargeras,ALLIANCE,2558,266,224,Priest,Shadow
968,Houdwini,illidan,HORDE,2557,142,87,Unknown,Unknown
968,Pokeyobutt,hydraxis,HORDE,2557,116,72,Warrior,Fury
968,Destrumz,zuljin,ALLIANCE,2557,180,130,Hunter,Survival
968,Felrynpr,malganis,ALLIANCE,2557,203,161,Priest,Shadow
968,Nlovmc,suramar,ALLIANCE,2557,280,225,Warlock,Affliction
968,Freepnts,stormrage,ALLIANCE,2557,452,405,Rogue,Assassination
968,Phlares,stormrage,ALLIANCE,2557,530,512,Warlock,Affliction
968,Zalpx,sargeras,ALLIANCE,2557,955,948,Evoker,Preservation
976,Jazzbabyz,tichondrius,ALLIANCE,2556,134,56,Unknown,Unknown
976,Veiveis,tichondrius,ALLIANCE,2556,205,140,Priest,Discipline
976,Outboxed,tichondrius,HORDE,2556,152,113,Monk,Mistweaver
976,Stunspam,tichondrius,ALLIANCE,2556,244,197,Unknown,Unknown
976,Wzx,tichondrius,HORDE,2556,194,157,Warrior,Arms
976,Jonbonjovin,bleeding-hollow,ALLIANCE,2556,190,155,Paladin,Retribution
976,Meatbeaterx,bleeding-hollow,HORDE,2556,225,191,Shaman,Elemental
976,Silverkitty,tichondrius,ALLIANCE,2556,352,312,Shaman,Restoration
984,Attkdamdam,illidan,ALLIANCE,2555,241,177,Paladin,Holy
984,Bïgdäm,stormrage,ALLIANCE,2555,147,112,Shaman,Enhancement
984,Fàlc,stormrage,HORDE,2555,146,112,Shaman,Elemental
984,Dirtypuncher,proudmoore,HORDE,2555,160,123,Monk,Windwalker
984,Oseph,tichondrius,ALLIANCE,2555,889,712,Unknown,Unknown
984,Cardynivans,tichondrius,HORDE,2555,168,142,Paladin,Retribution
984,Nosfive,bleeding-hollow,HORDE,2555,209,177,Warlock,Affliction
991,Gaimegh,tichondrius,ALLIANCE,2554,117,74,Unknown,Unknown
991,Gibbon,gundrak,ALLIANCE,2554,138,94,Demon Hunter,Havoc
991,Scubatv,tichondrius,HORDE,2554,191,146,Unknown,Unknown
991,Restokinaka,dreadmaul,ALLIANCE,2554,266,212,Druid,Restoration
995,Lastrefrain,illidan,ALLIANCE,2553,76,48,Unknown,Unknown
995,Azorahaidh,kelthuzad,ALLIANCE,2553,86,56,Demon Hunter,Devourer
995,Monkmeep,kilrogg,HORDE,2553,114,75,Monk,Mistweaver
995,Dárkrái,sargeras,ALLIANCE,2553,141,93,Unknown,Unknown
995,Fântaso,azralon,HORDE,2553,135,98,Unknown,Unknown
995,Abrua,area-52,ALLIANCE,2553,258,200,Unknown,Unknown
